00100,01100,10100,00100,00100,00100,00100,00100,00100,1000000000
01110,10001,00001,00001,00010,00100,01000,10000,11111,0100000000
01110,10001,00001,00001,00010,00001,00001,10001,01110,0010000000
00010,00110,00110,01010,01010,10010,11111,00010,00010,0001000000
11111,10000,10000,11110,10001,00001,00001,10001,01110,0000100000
01110,10001,10000,10000,11110,10001,10001,10001,01110,0000010000
11111,00001,00010,00010,00100,00100,01000,01000,01000,0000001000
01110,10001,10001,10001,01110,10001,10001,10001,01110,0000000100
01110,10001,10001,10001,01111,00001,00001,10001,01110,0000000010
01110,10001,10001,10001,10001,10001,10001,10001,01110,0000000001
